CDIM:       161
SDIM:       105
      0.73754134E+01     -0.77014104E-01      0.16925522E+01
      0.73755298E+01     -0.77017114E-01      0.16925353E+01
      0.73756819E+01     -0.77021070E-01      0.16925133E+01
      0.73758802E+01     -0.77026241E-01      0.16924845E+01
      0.73761420E+01     -0.77033013E-01      0.16924467E+01
      0.73764839E+01     -0.77041894E-01      0.16923971E+01
      0.73769321E+01     -0.77053525E-01      0.16923321E+01
      0.73775187E+01     -0.77068754E-01      0.16922472E+01
      0.73782873E+01     -0.77088699E-01      0.16921358E+01
      0.73792944E+01     -0.77114798E-01      0.16919898E+01
      0.73806148E+01     -0.77148952E-01      0.16917984E+01
      0.73823442E+01     -0.77193633E-01      0.16915479E+01
      0.73846087E+01     -0.77252090E-01      0.16912196E+01
      0.73875771E+01     -0.77328473E-01      0.16907891E+01
      0.73914666E+01     -0.77428244E-01      0.16902249E+01
      0.73965626E+01     -0.77558428E-01      0.16894854E+01
      0.74032397E+01     -0.77728093E-01      0.16885160E+01
      0.74119892E+01     -0.77948809E-01      0.16872449E+01
      0.74234529E+01     -0.78235351E-01      0.16855776E+01
      0.74384747E+01     -0.78606218E-01      0.16833906E+01
      0.74581594E+01     -0.79084426E-01      0.16805203E+01
      0.74839544E+01     -0.79697736E-01      0.16767513E+01
      0.75177569E+01     -0.80475166E-01      0.16717960E+01
      0.75620546E+01     -0.81447497E-01      0.16652722E+01
      0.76063533E+01     -0.82367964E-01      0.16587147E+01
      0.76506534E+01     -0.83237439E-01      0.16521226E+01
      0.76949534E+01     -0.84057137E-01      0.16454989E+01
      0.77392583E+01     -0.84832802E-01      0.16388814E+01
      0.77835674E+01     -0.85566834E-01      0.16322832E+01
      0.78278790E+01     -0.86260021E-01      0.16257044E+01
      0.78721929E+01     -0.86913072E-01      0.16191450E+01
      0.79165001E+01     -0.87516643E-01      0.16125216E+01
      0.79607821E+01     -0.88042140E-01      0.16055876E+01
      0.80050507E+01     -0.88489011E-01      0.15983243E+01
      0.80493126E+01     -0.88858560E-01      0.15907298E+01
      0.80935755E+01     -0.89152299E-01      0.15828046E+01
      0.81378670E+01     -0.89420095E-01      0.15749115E+01
      0.81821966E+01     -0.89696497E-01      0.15673068E+01
      0.82265625E+01     -0.89981280E-01      0.15599914E+01
      0.82709570E+01     -0.90274297E-01      0.15529658E+01
      0.83153763E+01     -0.90572603E-01      0.15461998E+01
      0.83598032E+01     -0.90859734E-01      0.15395124E+01
      0.84042358E+01     -0.91133118E-01      0.15328732E+01
      0.84486723E+01     -0.91392972E-01      0.15262825E+01
      0.84931116E+01     -0.91639459E-01      0.15197407E+01
      0.85375519E+01     -0.91856979E-01      0.15130851E+01
      0.85819998E+01     -0.92023239E-01      0.15060793E+01
      0.86264658E+01     -0.92138730E-01      0.14987193E+01
      0.86709557E+01     -0.92204064E-01      0.14910026E+01
      0.87154913E+01     -0.92227899E-01      0.14829756E+01
      0.87600670E+01     -0.92322290E-01      0.14753658E+01
      0.88046665E+01     -0.92521459E-01      0.14684068E+01
      0.88492794E+01     -0.92823334E-01      0.14620980E+01
      0.88938904E+01     -0.93225695E-01      0.14564382E+01
      0.89385061E+01     -0.93685411E-01      0.14511859E+01
      0.89831858E+01     -0.94097704E-01      0.14457299E+01
      0.90279360E+01     -0.94457798E-01      0.14400377E+01
      0.90727587E+01     -0.94766073E-01      0.14341068E+01
      0.91175976E+01     -0.95022343E-01      0.14279445E+01
      0.91624165E+01     -0.95218480E-01      0.14216393E+01
      0.92072086E+01     -0.95351189E-01      0.14152390E+01
      0.92519684E+01     -0.95422134E-01      0.14087453E+01
      0.92966824E+01     -0.95432915E-01      0.14021617E+01
      0.93413601E+01     -0.95396571E-01      0.13954571E+01
      0.93860283E+01     -0.95365904E-01      0.13884844E+01
      0.94306822E+01     -0.95347777E-01      0.13812100E+01
      0.94753323E+01     -0.95342763E-01      0.13736138E+01
      0.95093908E+01     -0.95348164E-01      0.13675898E+01
      0.95353823E+01     -0.95362209E-01      0.13628170E+01
      0.95552149E+01     -0.95383413E-01      0.13590385E+01
      0.95703506E+01     -0.95404945E-01      0.13560845E+01
