CDIM:       145
SDIM:       73
      1.86783369E-01      1.44088321E-02      4.30037715E-02
      1.86786234E-01      1.44096196E-02      4.30033516E-02
      1.86790283E-01      1.44107287E-02      4.30027644E-02
      1.86796027E-01      1.44122901E-02      4.30019324E-02
      1.86804097E-01      1.44144888E-02      4.30007598E-02
      1.86815429E-01      1.44175818E-02      4.29991129E-02
      1.86831373E-01      1.44219275E-02      4.29967945E-02
      1.86853812E-01      1.44280381E-02      4.29935292E-02
      1.86885359E-01      1.44366319E-02      4.29889409E-02
      1.86929729E-01      1.44487074E-02      4.29824937E-02
      1.86992151E-01      1.44656750E-02      4.29734216E-02
      1.87079958E-01      1.44895205E-02      4.29606542E-02
      1.87203471E-01      1.45230038E-02      4.29426814E-02
      1.87377226E-01      1.45699708E-02      4.29173836E-02
      1.87621647E-01      1.46358025E-02      4.28817624E-02
      1.87965505E-01      1.47279667E-02      4.28315777E-02
      1.88449235E-01      1.48567323E-02      4.27608171E-02
      1.89129768E-01      1.50361502E-02      4.26609281E-02
      1.90087270E-01      1.52846758E-02      4.25196058E-02
      1.91434700E-01      1.56250804E-02      4.23189850E-02
      1.93331344E-01      1.60850317E-02      4.20331800E-02
      1.96002457E-01      1.66940296E-02      4.16263349E-02
      1.98677445E-01      1.72621596E-02      4.12210224E-02
      2.01356242E-01      1.77791315E-02      4.08068774E-02
      2.04039956E-01      1.82118770E-02      4.03469055E-02
      2.06729841E-01      1.85894292E-02      3.98651250E-02
      2.09423545E-01      1.89803705E-02      3.94234248E-02
      2.12119610E-01      1.93765317E-02      3.90105506E-02
      2.14817742E-01      1.97594631E-02      3.86050124E-02
      2.17520384E-01      2.01048709E-02      3.81805388E-02
      2.20231858E-01      2.03862696E-02      3.77053004E-02
      2.22944143E-01      2.07154019E-02      3.72608453E-02
      2.25645935E-01      2.11782352E-02      3.69113562E-02
      2.28352978E-01      2.16490338E-02      3.65735933E-02
      2.31073895E-01      2.20559104E-02      3.62003326E-02
      2.33799207E-01      2.23841580E-02      3.58055998E-02
      2.36526277E-01      2.26360772E-02      3.53952219E-02
      2.38462266E-01      2.28100765E-02      3.50828594E-02
      2.39836900E-01      2.29387328E-02      3.48471360E-02
      2.40813297E-01      2.30332113E-02      3.46716782E-02
      2.41506958E-01      2.31045102E-02      3.45406674E-02
      2.41999920E-01      2.31575520E-02      3.44443399E-02
      2.42349994E-01      2.31962844E-02      3.43745116E-02
      2.42598828E-01      2.32243110E-02      3.43242120E-02
      2.42775560E-01      2.32444537E-02      3.42881697E-02
      2.42900988E-01      2.32588650E-02      3.42624387E-02
      2.42990114E-01      2.32691637E-02      3.42440804E-02
      2.43053433E-01      2.32765111E-02      3.42309992E-02
      2.43098426E-01      2.32817453E-02      3.42216859E-02
      2.43130395E-01      2.32854699E-02      3.42150574E-02
      2.43153111E-01      2.32881203E-02      3.42103429E-02
      2.43169246E-01      2.32900065E-02      3.42069924E-02
      2.43180709E-01      2.32913472E-02      3.42046096E-02
      2.43188861E-01      2.32923011E-02      3.42029161E-02
      2.43194653E-01      2.32929787E-02      3.42017120E-02
      2.43198765E-01      2.32934588E-02      3.42008557E-02
      2.43201683E-01      2.32937996E-02      3.42002469E-02
      2.43204676E-01      2.32941504E-02      3.41996265E-02
      2.43209508E-01      2.32947191E-02      3.41986205E-02
      2.43217349E-01      2.32956388E-02      3.41969873E-02
      2.43230072E-01      2.32971289E-02      3.41943375E-02
      2.43250698E-01      2.32995486E-02      3.41900399E-02
      2.43284136E-01      2.33034788E-02      3.41830651E-02
      2.43338349E-01      2.33098643E-02      3.41717387E-02
      2.43392572E-01      2.33162641E-02      3.41603887E-02
      2.43446794E-01      2.33226775E-02      3.41490253E-02
      2.43501015E-01      2.33290938E-02      3.41376549E-02
      2.43534462E-01      2.33330511E-02      3.41306376E-02
      2.43555097E-01      2.33354940E-02      3.41263089E-02
